record_time,app_id,sid,total_req_count,error_count,resp_time_sum,is_eb_breached,is_response_breached
1701369000000,753,1043,30,0,0.8420000000000001,0,0
1701369000000,753,1033,4558,0,15.974,0,0
1701369000000,753,1034,64,46,6.659,1,0
1701305400000,753,1017,1,0,0.018,0,0
1701306600000,753,1017,2,0,0.018,0,0
1701309000000,753,1017,1,0,0.035,0,0
1701309600000,753,1017,1,0,0.003,0,0
1701310800000,753,1017,1,0,0.019,0,0
1701311400000,753,1017,1,0,0.001,0,0
1701312600000,753,1017,1,0,0.002,0,0
1701313800000,753,1017,1,0,0.018,0,0
1701317400000,753,1017,1,0,0.001,0,0
1701320400000,753,1017,1,0,0.004,0,0
1701321600000,753,1017,1,0,0.017,0,0
1701322800000,753,1017,1,0,0.015,0,0
1701325800000,753,1017,2,0,0.009,0,0
1701326400000,753,1017,8,0,0.021,0,0
1701328200000,753,1017,1,0,0.154,0,0
1701331800000,753,1017,1,0,0.023,0,0
1701303000000,753,1039,2,0,0.071,0,0
1701303600000,753,1039,2,0,0.069,0,0
1701304200000,753,1039,1,0,0.026,0,0
1701305400000,753,1039,2,0,0.064,0,0
1701306000000,753,1039,1,0,0.044,0,0
1701306600000,753,1039,8,0,0.352,0,0
1701307200000,753,1039,3,0,0.121,0,0
1701307800000,753,1039,2,0,0.044,0,0
1701308400000,753,1039,2,0,0.078,0,0
1701309000000,753,1039,3,0,0.082,0,0
1701309600000,753,1039,3,0,0.129,0,0
1701310200000,753,1039,1,0,0.049,0,0
1701310800000,753,1039,4,0,0.22,0,0
1701311400000,753,1039,3,0,0.103,0,0
1701312000000,753,1039,2,0,0.038,0,0
1701312600000,753,1039,6,0,0.196,0,0
1701313800000,753,1039,5,0,0.163,0,0
1701314400000,753,1039,1,0,0.03,0,0
1701315000000,753,1039,2,0,0.076,0,0
1701315600000,753,1039,3,0,0.146,0,0
1701316200000,753,1039,2,0,0.085,0,0
1701316800000,753,1039,1,0,0.041,0,0
1701317400000,753,1039,2,0,0.082,0,0
1701319200000,753,1039,1,0,0.08,0,0
1701320400000,753,1039,4,0,0.23,0,0
1701321000000,753,1039,2,0,0.097,0,0
1701321600000,753,1039,3,0,0.105,0,0
1701322200000,753,1039,1,0,0.045,0,0
1701322800000,753,1039,4,0,0.113,0,0
1701323400000,753,1039,1,0,0.026,0,0
1701324000000,753,1039,2,0,0.12,0,0
1701324600000,753,1039,9,0,0.309,0,0
1701325200000,753,1039,3,0,0.131,0,0
1701325800000,753,1039,10,0,0.387,0,0
1701326400000,753,1039,22,0,0.848,0,0
1701327000000,753,1039,11,0,0.294,0,0
1701327600000,753,1039,22,0,1.0,0,0
1701328200000,753,1039,6,0,0.291,0,0
1701328800000,753,1039,2,0,0.097,0,0
1701329400000,753,1039,1,0,0.046,0,0
1701330600000,753,1039,1,0,0.051,0,0
1701331800000,753,1039,2,0,0.168,0,0
1701332400000,753,1039,2,0,0.079,0,0
1701333600000,753,1039,1,0,0.03,0,0
1701334200000,753,1039,1,0,0.036,0,0
1701335400000,753,1039,1,0,0.061,0,0
1701341400000,753,1039,1,0,0.026,0,0
1701342000000,753,1039,1,0,0.027,0,0
1701346800000,753,1039,750,1,80.57,0,0
1701282600000,753,1043,46,0,1.639,0,0
1701283200000,753,1043,39,0,1.365,0,0
1701283800000,753,1043,49,0,1.226,0,0
1701284400000,753,1043,36,0,1.191,0,0
1701285000000,753,1043,36,0,1.269,0,0
1701285600000,753,1043,40,0,1.952,0,0
1701286200000,753,1043,42,0,1.002,0,0
1701286800000,753,1043,46,0,1.523,0,0
1701287400000,753,1043,40,0,1.08,0,0
1701288000000,753,1043,85,0,2.363,0,0
1701288600000,753,1043,51,0,1.53,0,0
1701289200000,753,1043,46,0,1.004,0,0
1701289800000,753,1043,74,0,2.1,0,0
1701290400000,753,1043,76,0,2.297,0,0
1701291000000,753,1043,51,0,1.452,0,0
1701291600000,753,1043,50,0,1.574,0,0
1701292200000,753,1043,94,0,2.353,0,0
1701292800000,753,1043,89,0,2.137,0,0
1701293400000,753,1043,97,0,2.464,0,0
1701294000000,753,1043,76,0,1.884,0,0
1701294600000,753,1043,82,0,2.625,0,0
1701295200000,753,1043,148,0,4.022,0,0
1701295800000,753,1043,137,0,3.753,0,0
1701296400000,753,1043,86,0,2.164,0,0
1701297000000,753,1043,116,0,3.027,0,0
1701297600000,753,1043,107,0,2.399,0,0
1701298200000,753,1043,122,0,3.507,0,0
1701298800000,753,1043,147,0,3.651,0,0
1701299400000,753,1043,101,0,2.578,0,0
1701300000000,753,1043,117,0,2.725,0,0
1701300600000,753,1043,162,0,4.574,0,0
1701301200000,753,1043,194,0,4.629,0,0
1701301800000,753,1043,185,0,4.629,0,0
1701302400000,753,1043,174,0,4.9,0,0
1701303000000,753,1043,160,0,4.31,0,0
1701303600000,753,1043,204,0,5.057,0,0
1701304200000,753,1043,166,0,4.161,0,0
1701304800000,753,1043,168,0,3.637,0,0
1701305400000,753,1043,199,0,4.839,0,0
1701306000000,753,1043,249,0,6.03,0,0
1701306600000,753,1043,320,0,7.682,0,0
1701307200000,753,1043,250,0,6.304,0,0
1701307800000,753,1043,266,0,6.587,0,0
1701308400000,753,1043,225,0,5.623,0,0
1701309000000,753,1043,221,0,6.288,0,0
1701309600000,753,1043,246,0,5.818,0,0
1701310200000,753,1043,200,0,5.094,0,0
1701310800000,753,1043,216,0,5.454,0,0
1701311400000,753,1043,209,0,5.187,0,0
1701312000000,753,1043,258,0,6.206,0,0
1701312600000,753,1043,201,0,4.704,0,0
1701313200000,753,1043,210,0,5.189,0,0
1701313800000,753,1043,253,0,6.892,0,0
1701314400000,753,1043,311,0,8.14,0,0
1701315000000,753,1043,187,0,5.243,0,0
1701315600000,753,1043,190,0,4.698,0,0
1701316200000,753,1043,212,0,5.12,0,0
1701316800000,753,1043,228,0,5.494,0,0
1701317400000,753,1043,203,0,4.356,0,0
1701318000000,753,1043,170,0,4.511,0,0
1701318600000,753,1043,188,0,4.624,0,0
1701319200000,753,1043,199,0,4.758,0,0
1701319800000,753,1043,154,0,4.027,0,0
1701320400000,753,1043,175,0,4.714,0,0
1701321000000,753,1043,193,0,4.92,0,0
1701321600000,753,1043,168,0,4.191,0,0
1701322200000,753,1043,222,0,5.207,0,0
1701322800000,753,1043,193,0,4.586,0,0
1701323400000,753,1043,180,0,4.605,0,0
1701324000000,753,1043,184,0,4.463,0,0
1701324600000,753,1043,171,0,3.719,0,0
1701325200000,753,1043,202,0,13.048,0,0
1701325800000,753,1043,194,0,5.151,0,0
1701326400000,753,1043,214,0,5.264,0,0
1701327000000,753,1043,182,0,4.791,0,0
1701327600000,753,1043,169,0,3.987,0,0
