sid,min_volume,max_volume
1043,,
1033,,
1034,51.0,855.0
1017,,
1039,,
1065,,
1007,,
1008,6723.0,115547.0
1009,,
1010,,
1011,,
1012,,
1013,,
1014,,
1015,,
1016,,
1018,,
1019,,
1020,,
1021,198.0,715.0
1022,,
1023,,
1024,,
1025,,
1026,8.0,1252.0
1027,166.0,563.0
1028,,
1029,,
1030,,
1031,,
1032,,
1035,,
1036,1003.0,16334.0
1037,,
1038,,
1040,,
1041,,
1042,2.0,19.0
1044,,
1046,518.0,3149.0
1047,,
1048,5705.0,112883.0
1049,,
1050,,
1051,1003.0,16335.0
1052,,
1053,,
1054,,
1055,,
1056,,
1057,,
1058,,
1059,,
1060,,
1061,,
1062,2.0,14.0
1063,,
1064,,
1066,1.0,64.0
1067,,
1068,,
1069,,
1070,,
1071,,
1072,,
1073,,
1074,,
1075,,
1076,,
1077,,
1078,,
1079,,
1080,,
1081,3.0,5.0
1082,,
1083,,
1084,47.0,47.0
1085,,
1086,,
1087,,
1088,,
1089,,
1090,,
1091,,
1092,,
1093,,
1094,,
1095,,
1096,,
1097,,
1098,,
1100,,
1101,,
1102,,
1103,47.0,851.0
1104,2.0,9.0
1105,,
1106,,
1107,1.0,3.0
1108,,
1155,,
