sid,record_count
16982,16
16984,1
16985,16
16987,16
16988,16
16990,16
16992,16
16993,16
16994,16
16995,37
16997,37
16998,1
16999,37
17000,1
24452,2
24454,37
24456,1
24457,37
24460,37
24461,1
24463,5
24464,1
24465,37
24467,37
24469,37
24470,37
24471,37
24472,37
24473,6
24474,1
24475,37
24476,37
24477,1
24478,37
24479,37
24480,37
24482,37
24484,5
24486,1
24488,37
24489,37
24490,37
24494,1
24496,37
24497,2
24500,37
24501,6
24503,37
24504,37
24505,37
24506,5
24508,37
24509,37
24511,37
24512,1
24519,2
24520,37
24521,6
24522,21
24523,37
24524,37
24525,37
24527,1
24528,1
24529,37
24532,37
24535,6
24536,1
24540,37
