sid,breach_volume
1007,1.0
1008,6723.0
1009,360.0
1010,1.0
1011,1965.0
1012,1965.0
1013,1.0
1014,590.0
1015,51.0
1016,51.0
1017,1.0
1018,51.0
1019,1.0
1020,1.0
1021,198.0
1022,1956.0
1023,1956.0
1024,1.0
1025,1.0
1026,8.0
1027,166.0
1028,2063.0
1029,18.0
1030,23530.0
1031,1.0
1032,18.0
1033,4558.0
1034,51.0
1035,1.0
1036,1003.0
1037,1099.0
1038,1.0
1039,1.0
1040,1.0
1041,60.0
1042,2.0
1043,30.0
1044,1.0
1046,518.0
1047,998.0
1048,5705.0
1049,360.0
1050,30.0
1051,1003.0
1052,2.0
1053,83.0
1054,30.0
1055,2243.0
1056,1.0
1057,1.0
1058,1.0
1059,
1060,2560.0
1061,1.0
1062,2.0
1063,1003.0
1064,2.0
1065,1.0
1066,1.0
1067,1.0
1068,3999.0
1069,153.0
1070,1.0
1071,1.0
1072,12.0
1073,1.0
1074,1.0
1075,1.0
1076,30.0
1077,1.0
1078,1.0
1079,1.0
1080,83.0
1081,3.0
1082,2090.0
1083,1.0
1084,1.0
1085,1.0
1086,18.0
1087,1.0
1088,1965.0
1089,1.0
1090,23531.0
1091,1067.0
1092,1965.0
1093,23542.0
1094,1.0
1095,998.0
1096,1.0
1097,1.0
1098,1.0
1100,
1101,1.0
1102,1.0
1103,47.0
1104,
1105,1.0
1106,1.0
1107,
1108,1.0
1155,1.0
