sid,record_count
1007,15
1008,19
1009,19
1010,16
1011,19
1012,19
1013,19
1014,19
1015,19
1016,18
1017,18
1018,14
1019,19
1020,19
1021,19
1022,19
1023,18
1024,18
1025,13
1026,19
1027,19
1028,19
1029,19
1030,19
1031,19
1032,19
1033,19
1034,19
1035,18
1036,19
1037,19
1038,13
1039,18
1040,11
1041,19
1042,19
1043,19
1044,18
1045,6
1046,19
1047,19
1048,19
1049,19
1050,19
1051,19
1052,19
1053,19
1054,19
1055,19
1056,19
1057,15
1058,19
1059,19
1060,19
1061,18
1062,19
1063,19
1064,18
1065,18
1066,19
1067,14
1068,19
1069,19
1070,15
1071,9
1072,19
1073,14
1074,17
1075,15
1076,19
1077,18
1078,14
1079,10
1080,19
1081,19
1082,19
1083,14
1084,18
1085,18
1086,19
1087,14
1088,19
1089,18
1090,19
1091,19
1092,19
1093,19
1094,19
1095,19
1096,19
1097,19
1098,10
1099,11
1100,19
1101,15
1102,10
1103,19
1104,19
1105,18
1106,15
1107,19
1108,15
1152,2
1153,2
1154,1
1155,17
1156,3
1157,3
1158,3
1159,1
1161,7
1162,3
1164,3
1165,3
1167,3
1168,5
1169,6
1170,7
1173,4
1174,10
1175,9
1176,1
