sid,record_count
1007,16
1008,19
1009,19
1010,17
1011,19
1012,19
1013,19
1014,19
1015,19
1016,19
1017,19
1018,14
1019,19
1020,19
1021,19
1022,19
1023,19
1024,19
1025,13
1026,19
1027,19
1028,19
1029,19
1030,19
1031,19
1032,19
1033,19
1034,19
1035,19
1036,19
1037,19
1038,14
1039,19
1040,11
1041,19
1042,19
1043,19
1044,19
1045,7
1046,19
1047,19
1048,19
1049,19
1050,19
1051,19
1052,19
1053,19
1054,19
1055,19
1056,19
1057,14
1058,19
1059,19
1060,19
1061,19
1062,19
1063,19
1064,19
1065,19
1066,19
1067,15
1068,19
1069,19
1070,14
1071,9
1072,19
1073,14
1074,17
1075,14
1076,19
1077,19
1078,15
1079,10
1080,19
1081,19
1082,19
1083,15
1084,19
1085,19
1086,19
1087,15
1088,19
1089,19
1090,19
1091,19
1092,19
1093,19
1094,19
1095,19
1096,19
1097,19
1098,9
1099,8
1100,19
1101,16
1102,9
1103,19
1104,19
1105,19
1106,14
1107,19
1108,16
1152,2
1153,2
1155,19
1156,2
1157,2
1158,2
1160,1
1161,7
1162,2
1164,2
1165,2
1167,2
1168,8
1169,9
1170,10
1171,1
1173,7
1174,13
1175,12
1176,1
