app_id,sid,min_vol_for_eb_breach,start_time_for_eb_breach,end_time_for_eb_breach,min_vol_for_response_breach,start_time_for_response_breach,end_time_for_response_breach
753,1007,,,,1.0,1700000000000.0,1700000000000.0
753,1008,4255.0,1700000000000.0,1700000000000.0,,,
753,1010,1.0,1700000000000.0,1700000000000.0,,,
753,1021,129.0,1700000000000.0,1700000000000.0,,,
753,1026,8.0,1700000000000.0,1700000000000.0,4.0,1700000000000.0,1700000000000.0
753,1027,16.0,1700000000000.0,1700000000000.0,77.0,1700000000000.0,1700000000000.0
753,1033,,,,5556.0,1700000000000.0,1700000000000.0
753,1034,20.0,1700000000000.0,1700000000000.0,,,
753,1036,723.0,1700000000000.0,1700000000000.0,,,
753,1037,10346.0,1700000000000.0,1700000000000.0,34287.0,1700000000000.0,1700000000000.0
753,1038,,,,1.0,1700000000000.0,1700000000000.0
753,1042,2.0,1700000000000.0,1700000000000.0,15.0,1700000000000.0,1700000000000.0
753,1046,134.0,1700000000000.0,1700000000000.0,909.0,1700000000000.0,1700000000000.0
753,1048,2965.0,1700000000000.0,1700000000000.0,,,
753,1051,723.0,1700000000000.0,1700000000000.0,,,
753,1059,1087.0,1700000000000.0,1700000000000.0,,,
753,1061,,,,1.0,1700000000000.0,1700000000000.0
753,1062,1.0,1700000000000.0,1700000000000.0,,,
753,1066,1.0,1700000000000.0,1700000000000.0,1.0,1700000000000.0,1700000000000.0
753,1073,,,,1.0,1700000000000.0,1700000000000.0
753,1081,1.0,1700000000000.0,1700000000000.0,1.0,1700000000000.0,1700000000000.0
753,1084,38.0,1700000000000.0,1700000000000.0,,,
753,1085,,,,2.0,1700000000000.0,1700000000000.0
753,1099,1.0,1700000000000.0,1700000000000.0,,,
753,1100,1092.0,1700000000000.0,1700000000000.0,,,
753,1101,,,,1.0,1700000000000.0,1700000000000.0
753,1103,20.0,1700000000000.0,1700000000000.0,,,
753,1104,1.0,1700000000000.0,1700000000000.0,,,
753,1105,,,,1.0,1700000000000.0,1700000000000.0
753,1107,1.0,1700000000000.0,1700000000000.0,1.0,1700000000000.0,1700000000000.0
753,1108,,,,1.0,1700000000000.0,1700000000000.0
753,1155,1.0,1700000000000.0,1700000000000.0,,,
753,1159,,,,1.0,1700000000000.0,1700000000000.0
753,1174,,,,5.0,1700000000000.0,1700000000000.0
