app_id,sid,min_vol_for_eb_breach,start_time_for_eb_breach,end_time_for_eb_breach,min_vol_for_response_breach,start_time_for_response_breach,end_time_for_response_breach
753,1007,,,,1.0,1700040000000.0,1701560000000.0
753,1008,4255.0,1699990000000.0,1701720000000.0,,,
753,1010,1.0,1701430000000.0,1701430000000.0,,,
753,1021,129.0,1701320000000.0,1701720000000.0,,,
753,1026,8.0,1701280000000.0,1701450000000.0,4.0,1700150000000.0,1701710000000.0
753,1027,16.0,1700010000000.0,1701540000000.0,77.0,1700150000000.0,1701430000000.0
753,1033,,,,5556.0,1700020000000.0,1701710000000.0
753,1034,20.0,1699990000000.0,1701730000000.0,,,
753,1036,723.0,1699990000000.0,1701730000000.0,,,
753,1037,10346.0,1700490000000.0,1700500000000.0,34287.0,1700490000000.0,1700490000000.0
753,1038,,,,1.0,1701420000000.0,1701420000000.0
753,1042,2.0,1699990000000.0,1701730000000.0,15.0,1700760000000.0,1700760000000.0
753,1046,134.0,1701310000000.0,1701720000000.0,909.0,1701450000000.0,1701450000000.0
753,1048,2965.0,1699990000000.0,1701720000000.0,,,
753,1051,723.0,1699990000000.0,1701730000000.0,,,
753,1059,1087.0,1701190000000.0,1701370000000.0,,,
753,1061,,,,1.0,1700150000000.0,1701430000000.0
753,1062,1.0,1700010000000.0,1701710000000.0,,,
753,1066,1.0,1699990000000.0,1701730000000.0,1.0,1700410000000.0,1701730000000.0
753,1073,,,,1.0,1700020000000.0,1701700000000.0
753,1081,1.0,1700000000000.0,1701720000000.0,1.0,1700350000000.0,1700760000000.0
753,1084,38.0,1700050000000.0,1701690000000.0,,,
753,1085,,,,2.0,1700020000000.0,1701410000000.0
753,1099,1.0,1699990000000.0,1701390000000.0,,,
753,1100,1092.0,1701190000000.0,1701370000000.0,,,
753,1101,,,,1.0,1700270000000.0,1701560000000.0
753,1103,20.0,1699990000000.0,1701730000000.0,,,
753,1104,1.0,1700010000000.0,1701730000000.0,,,
753,1105,,,,1.0,1701220000000.0,1701220000000.0
753,1107,1.0,1700010000000.0,1701730000000.0,1.0,1700300000000.0,1701550000000.0
753,1108,,,,1.0,1701330000000.0,1701330000000.0
753,1155,1.0,1700240000000.0,1701220000000.0,,,
753,1159,,,,1.0,1700150000000.0,1700150000000.0
753,1174,,,,5.0,1701430000000.0,1701430000000.0
