record_time,app_id,sid,total_req_count,error_count,resp_time_sum,is_eb_breached,is_response_breached
1.70139E+12,753,1017,1,0,0.006,0,0
1.70139E+12,753,1017,1,0,0.004,0,0
1.70139E+12,753,1017,1,0,0.021,0,0
1.70139E+12,753,1017,1,0,0.002,0,0
1.70139E+12,753,1017,1,0,0.001,0,0
1.7014E+12,753,1017,2,0,0.026,0,0
1.7014E+12,753,1017,1,0,0.005,0,0
1.7014E+12,753,1017,1,0,0.002,0,0
1.7014E+12,753,1017,1,0,0.022,0,0
1.7014E+12,753,1017,1,0,0.015,0,0
1.7014E+12,753,1017,1,0,0.018,0,0
1.7014E+12,753,1017,1,0,0.016,0,0
1.70141E+12,753,1017,1,0,0.012,0,0
1.70141E+12,753,1017,3,0,0.01,0,0
1.70141E+12,753,1017,4,0,0.012,0,0
1.70141E+12,753,1017,2,0,0.007,0,0
1.70141E+12,753,1017,3,0,0.006,0,0
1.70141E+12,753,1017,1,0,0.002,0,0
1.70141E+12,753,1017,1,0,0.004,0,0
1.70141E+12,753,1017,4,0,0.021,0,0
1.70142E+12,753,1017,1,0,0.005,0,0
1.70142E+12,753,1017,4,0,0.011,0,0
1.70142E+12,753,1017,1,0,0.006,0,0
1.70142E+12,753,1017,1,0,0.004,0,0
1.70142E+12,753,1017,2,0,0.019,0,0
1.70142E+12,753,1017,1,0,0.002,0,0
1.70142E+12,753,1017,2,0,0.017,0,0
1.70142E+12,753,1017,1,0,0.004,0,0
1.70143E+12,753,1017,4,0,0.011,0,0
1.70143E+12,753,1017,2,0,0.008,0,0
1.70143E+12,753,1017,1,0,0.003,0,0
1.70139E+12,753,1039,5,0,0.153,0,0
1.70139E+12,753,1039,7,0,0.241,0,0
1.70139E+12,753,1039,1,0,0.025,0,0
1.70139E+12,753,1039,2,0,0.093,0,0
1.70139E+12,753,1039,2,0,0.049,0,0
1.70139E+12,753,1039,3,0,0.183,0,0
1.70139E+12,753,1039,1,0,0.049,0,0
1.70139E+12,753,1039,1,0,0.085,0,0
1.70139E+12,753,1039,2,0,0.097,0,0
1.70139E+12,753,1039,1,0,0.091,0,0
1.70139E+12,753,1039,8,0,0.235,0,0
1.70139E+12,753,1039,3,0,0.107,0,0
1.70139E+12,753,1039,5,0,0.28,0,0
1.70139E+12,753,1039,3,0,0.135,0,0
1.70139E+12,753,1039,1,0,0.028,0,0
